text,label
EFEITO DO ÁLCOOL NA SOCIEDADE E NO MEU CORPO,ÁLCOOL
COMO EU PODERIA PARAR DE USAR BHANG,DROGAS
COMO EVITAR O USO DE DROGAS?,DROGAS
COMO VOU PARAR? O QUE SIGNIFICA VÍCIO.,ÁLCOOL
SINTO-ME REJEITADO,DEPRESSÃO
É CERTO QUE UMA PESSOA DEPRIMIDA USE DROGAS,DEPRESSÃO
EU SÓ PAREI DE TOMAR ÁLCOOL PORQUE PENSEI QUE NÃO ERA BOM PARA MIM,ÁLCOOL
COMO FAÇO PARA BUSCAR AJUDA EM ALCOOLISMO,ÁLCOOL
ESTOU MUITO ESTRESSADO,DEPRESSÃO
PRINCIPAIS DESAFIOS DA DEPRESSÃO E SEUS EFEITOS COLATERAIS PARA MINHA SAÚDE,DEPRESSÃO
SENTE-SE CONFUSO E DESAMPARADO E FOI EMPURRADO PARA O CANTO SENTINDO-SE UM POUCO MELHOR, DEPRESSÃO
COMO EVITAR MÁS COMPANHIAS?,DROGAS
COMO EVITAR A DEPRESSÃO NO CAMPUS,DEPRESSÃO
CAUSAS DE SUICÍDIO DE JOVENS,SUICÍDIO
QUAIS SÃO OS EFEITOS DO ÁLCOOL?,ÁLCOOL
"SINTO-ME MUITO DEPRIMIDO, COMO FAÇO PARA SUPERAR ISSO?",DEPRESSÃO
EU ME SINTO DOLORIDO E INDESEJADO,DEPRESSÃO
O QUE POSSO FAZER PARA MUDAR A SITUAÇÃO?,DEPRESSÃO
O QUE FAZER PARA RESISTIR AO SENTIMENTO RUIM?,DEPRESSÃO
"MUITO TRABALHO DE CLASSE E COMO FAÇO PARA LIDAR COM MUITAS RESPONSABILIDADES",DEPRESSÃO
COMO POSSO PARAR O ÁLCOOL,ÁLCOOL
"ESTOU ENFRENTANDO MUITOS DESAFIOS NA VIDA FINANCEIRA, EMOCIONAL, PSICOLÓGICA E SEM SOLUÇÕES ... COMO POSSO PROCURAR SOLUÇÕES PARA A DEPRESSÃO NO GOOGLE COM SEGURANÇA",DEPRESSÃO
EU SEMPRE ME SINTO PRA BAIXO, DEPRESSÃO
TRISTE E SOLITÁRIO,DEPRESSÃO
SINTO QUE SOU INDIGNO E PERDIDO,DEPRESSÃO
QUAIS SÃO AS MELHORES MANEIRAS QUE POSSO SEGUIR PARA PARAR DE USÁ-LO,ÁLCOOL
ACHO QUE AGUENTO MINHA BEBIDA,ÁLCOOL
SINTO-ME DEPRIMIDO POR CAUSA DE PROBLEMAS DE RELACIONAMENTO,DEPRESSÃO
COMO POSSO PARAR DE TOMAR ÁLCOOL,ÁLCOOL
O QUE POSSO FAZER PARA MINIMIZAR MEU ALCOOLISMO,ÁLCOOL
COMO LIDAR E SUPERAR SITUAÇÕES RUINS,SUICÍDIO
EFEITOS DO ÁLCOOL?,ÁLCOOL
USEI O DINHEIRO DO ALUGUEL EM JOGOS DE AZAR,DEPRESSÃO
POR QUE EU EXISTO?,DEPRESSÃO
WILL PRAYER ME AJUDAR A SAIR DE PENSAMENTOS SUICIDAS.,SUICÍDIO
COMO POSSO OBTER AJUDA?,DEPRESSÃO
QUEM PODE SER O MOTIVO DA DEPRESSÃO?,DEPRESSÃO
ÀS VEZES SOFRO DE DEPRESSÃO E ACHO QUE A MELHOR MANEIRA DE EVITAR ISSO É ME MANTER OCUPADO, DEPRESSÃO
COMO EVITAR O ÁLCOOL,ÁLCOOL
SOLITÁRIO E FELIZ,DEPRESSÃO
HÁ MAL PARA MIM QUANDO EU TOMO ÁLCOOL,ÁLCOOL
QUAL É A IMPORTÂNCIA DO ÁLCOOL?,ÁLCOOL
SINTO UMA TRISTEZA INDESCRITÍVEL,DEPRESSÃO
QUAIS SÃO AS MANEIRAS COMUNS DE REDUZIR A DEPRESSÃO,DEPRESSÃO
EU ME SINTO TÃO PRA BAIXO,DEPRESSÃO
NEGAÇÃO DOS PAIS CAUSANDO MINHA DEPRESSÃO,DEPRESSÃO
EFEITOS DO ÁLCOOL NA SAÚDE DO MEU CORPO,ÁLCOOL
TENHO UMA MÁ COMPANHIA DE AMIGOS QUE ME INFLUENCIAM A FUMAR MACONHA,DROGAS
POR QUE EU NÃO TENHO SUCESSO NO QUE FAÇO,DEPRESSÃO
HÁ AUTO-ESTIMA NA VIDA?,SUICÍDIO
TENHO BAIXA AUTO-ESTIMA,DEPRESSÃO
COMO POSSO SUPERAR O ALCOOLISMO?,ÁLCOOL
COMO POSSO PARAR DE USAR MACONHA,DROGAS
ESTOU DESANIMADO. COMO POSSO SUPERAR O SENTIMENTO?,DEPRESSÃO
COMO PARAR O ÁLCOOL,ÁLCOOL
DEVO PARAR DE BEBER ÁLCOOL,ÁLCOOL
COMO SUPERAR TAL INCIDENTE, SUICÍDIO
EFEITOS COLATERAIS E PROBLEMAS ASSOCIADOS À DEPRESSÃO,DEPRESSÃO
"ESTOU TÃO IRRITADO, POR QUE ISSO ACONTECE?",DEPRESSÃO
QUAL É A MELHOR FORMA DE PARAR DE USAR DROGAS?,DROGAS
SENTIMENTOS DE ANSIEDADE E MEDO E SENTIMENTOS DE INADEQUAÇÃO,DEPRESSÃO
O QUE É UMA BOA VIDA?,ÁLCOOL
QUAIS SÃO OS EFEITOS DA DEPRESSÃO?,DEPRESSÃO
MEDIDAS A SEREM TOMADAS PARA SUPERAR PENSAMENTOS SUICIDAS,SUICÍDIO
COMO FAÇO PARA EVITAR FICAR VICIADO,ÁLCOOL
SENTINDO-SE SOZINHO AGORA ME SINTO MELHOR,DEPRESSÃO
POR QUE USAMOS BHANG?,DROGAS
SENTI ESTRESSE INCOMPLETO E EXCESSIVO,DEPRESSÃO
"MEUS SENTIMENTOS ERAM CAÓTICOS, TRISTES, ISOLADOSAGORA MELHOR",DEPRESSÃO
COMO ESTUDAR PARA EVITAR SER REPROVADO NOS EXAMES,DEPRESSÃO
"ESTAVA TRISTE, SOLITÁRIO, CONFUSOAGORA, FELIZ E CONTENTE",DEPRESSÃO
COMO POSSO PARAR O USO DE DROGAS?,DROGAS
POR QUE BEBEMOS DE QUALQUER MANEIRA? QUAL É O EFEITO DE BEBER ÁLCOOL EM EXCESSO?,ÁLCOOL
COMO SUPERAR ESSA PRESSÃO DOS COLEGAS DE TOMAR ÁLCOOL?,ÁLCOOL
